Job Title,Job Link,Company,Location,Salary,Rating
Junior Data Analyst,https://in.indeed.com/rc/clk?jk=878452d80cc71d5e&bb=yO6rZndF62zJUquewmatUfOM9k_W1v_1rK7MnLSOlJuftik8nhtal0TxgVjpGxPUeQGWQ5V92rL_PDtil1d-DhaK9Z29tHoNPRORhYAh8hPldx21NtQwMcQIudDxew5F&xkcb=SoBf67M30uQMG-2XY50LbzkdCdPP&fccid=76e1db84115e8b52&vjs=3,SPHINXHIRE.AI PRIVATE LIMITED,india,Not Disclosed,Not Rated
Data Science fresher,https://in.indeed.com/rc/clk?jk=1708ebe0b6c943cb&bb=yO6rZndF62zJUquewmatUQWjTj-sBlN49AaNb5f-oknsGd118EiPiq0d9J6CYpeWyuVoyIApE5YR_IhS781S5t6q3eLSA6jgbBL_yiLRvcjDEKFVDdT7Jh4el3AYSHkI&xkcb=SoDr67M30uQMG-2XY50KbzkdCdPP&fccid=2d84a329eccd9206&cmp=myinternship.in&ti=Data+Scientist&vjs=3,myinternship.in,india,Not Disclosed,Not Rated
Data Analyst Intern,https://in.indeed.com/rc/clk?jk=4555bd1443f7d528&bb=yO6rZndF62zJUquewmatUb4VE8MgzINWJKOrWAV8ZX6t9eJ_xrbFU4RNbKSilHx7MM3BrT-m0WQGPugMB6DaSJMcTe3l_FZM9XN05cXdeDQxg5TWmsyrSlFBGyxIrF2U&xkcb=SoB267M30uQMG-2XY50JbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,Labmentix,india,Not Disclosed,Not Rated
Data Scientist ( Fresher ),https://in.indeed.com/rc/clk?jk=9adce831bdb60f6e&bb=yO6rZndF62zJUquewmatUbbXqHC__lp8j0ds_r8-GR3YshKqrIJqXGm6P9OZ9XOzg3rgP3itQ0YNXzZCwoYXJzqGzxL03O18IFQCdRuYFztYXmYhtLCeEfVlb6AF-z-o&xkcb=SoDC67M30uQMG-2XY50IbzkdCdPP&fccid=a0645f0ba0087d72&cmp=iTpreneur&ti=Data+Scientist&vjs=3,itpreneur institute,india,Not Disclosed,Not Rated
Data Analyst,https://in.indeed.com/rc/clk?jk=d132fe8f29f69fb9&bb=yO6rZndF62zJUquewmatUbpLtuWNUKQSKAXtrJiW_mHcpnkHMhiL7_kv1tBO7HLLkW_NNRq4cGs-aG_pqcV8NSGK761FNwqa2WCuuCOUfwlsmRyMmzg3-cxsG2TtpaHe&xkcb=SoBM67M30uQMG-2XY50PbzkdCdPP&fccid=3039eba7e7bd038f&vjs=3,Antarctica Global,india,Not Disclosed,Not Rated
Data Science Trainee,https://in.indeed.com/rc/clk?jk=1bf40a5a777437f4&bb=yO6rZndF62zJUquewmatUbrdlT0Xl0c3SJcmMHGlSoc03zDczCMTS_p4igCcDciLoEs1rgkmQ59amkkcUAlgwlmbeEB278hPQ37oKTZUwCk9PRRI2ba1H1xhXGDFepao&xkcb=SoD467M30uQMG-2XY50ObzkdCdPP&fccid=c8e23f692f370e76&cmp=99yeardeals&ti=Data+Scientist&vjs=3,99yeardeals,india,Not Disclosed,Not Rated
Data Scientist,https://in.indeed.com/rc/clk?jk=08c443685b2f2ddc&bb=yO6rZndF62zJUquewmatUb4VE8MgzINWOb8laoLiTI522wd4D8cXXkkHU3QHIEZKfcuxakm9DJjz196qJEAiLqnRaBE65DTTPmWVKd1egfA7ZtrJCGMC-F3heb0sPkKY&xkcb=SoBl67M30uQMG-2XY50NbzkdCdPP&fccid=0ad80630a67215ca&vjs=3,Agnik,india,Not Disclosed,Not Rated
Data Scientist,https://in.indeed.com/rc/clk?jk=6da3afb94cfd1449&bb=yO6rZndF62zJUquewmatUccnuPrG_OF7CJBBTbVOa7aNigUvaFiMW7JG2QKwCuzW35Zd-TcP6qJbU-jArg-jljQxCdMsCQNd7KEN77vMGJwJvKSA39Y_gvNC8jU3HrOU&xkcb=SoDR67M30uQMG-2XY50MbzkdCdPP&fccid=84d654899eec044b&cmp=Digitwin-Technology-Pvt-Ltd&ti=Data+Scientist&vjs=3,DigiTwin Technology Pvt Ltd,india,Not Disclosed,Not Rated
Data Analysts,https://in.indeed.com/rc/clk?jk=b5e1eb40b99cb497&bb=yO6rZndF62zJUquewmatUfXHOOhYaQHi9BC3x5evEMZ-pd5LAr3sPjwydS0XQplGQMLuiri91-l3QmrlzzRUng9-Z076TEWZihee_PN_4f-sJwiwlgLro_QCIaJpSJvU&xkcb=SoA467M30uQMG-2XY50DbzkdCdPP&fccid=658d695e5c9ed910&cmp=Digitalxc.com&ti=Data+Analyst&vjs=3,Digitalxc.com,india,Not Disclosed,Not Rated
Research Analyst,https://in.indeed.com/rc/clk?jk=475095af9d9da8a2&bb=yO6rZndF62zJUquewmatUYDu0q_5cKNhXVMBlMksh5tJK9DhnW4Ml5iUcdV3h2zhY2ey4BCqNYUPC3892m6Bs_ab_WCzbtedTS8QXZswnle4cfxDLSPrpD262A6OsJna&xkcb=SoCM67M30uQMG-2XY50CbzkdCdPP&fccid=80bb988d3ad73d9e&cmp=Ace-Research&ti=Research+Analyst&vjs=3,Ace Research,india,Not Disclosed,Not Rated
Data Scientist,https://in.indeed.com/rc/clk?jk=c490493a8664e373&bb=yO6rZndF62zJUquewmatUfD-2rO3LaG5BKsBgiqvgsIlBpHWaQ1mTWvaFdtqWdrQ33kCMNUIt2J3H9kCcd5Qv0YEjjkYFSBn_Zeq69y66kn6gIU8vuGMJKtxqe_O01MI&xkcb=SoAR67M30uQMG-2XY50BbzkdCdPP&fccid=339fc89548d64eee&vjs=3,Hire IT People,india,Not Disclosed,Not Rated
Senior Node.js Developer,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ApxYFei_EoxSDKtpX7Mjl3DQVMG47Bvn_2LC-4d934fLY5KDdGUcG4BVn8zvbZzWXLcAI6Ua5fnJlAUryXkrz6iEcKh5z5OowYJQ8SLNJnxQvJklyoTiES_kom70bgPJE6xiUFD-b7HULdcyvK8I4YeBVvYrwUeF8I4MkjfO_P9eFtnb0Gi-NarItXEnHAXPnMztnhaugHUGqEfSRbkdTj1jowS0lHek-o26cszW9OluG6MSwC5ujrTzOPb-dCtZQeIioVpMzJ_te7kOxmYZNjOdJ-ghGBEHstUnYyNY6nZ_eu9mPYHYItwaxj8FMig3j0W2YErxtO7Vw7rh8mI7XosA8qF18Ya9zgFkDKPBu_HbCZbSZgT-3YmSh1E5_N9hldJKyehdssa3NIibWsa_SofZfkCb8CMeS7VdJZFC-WQdVxJQ9UtdH9K4lNeNOOJ7cM2rfPUffxp7fQ_xmzkpr2cLTDmZBDeCzzJbBD2uR7uIABevkNExTo1UsOFE1m7JGyfPhjrwdRBNaRArSB_hOy1SUD6T_aOJlHIjPK6xWFHGglRMlbHRBTKFE1ejFuuMOjXWaIoIECCC_Y1yfPThQ6rpxE5DjXMfU6HkaBE9KFceS2r6WJlajKzN7RCl9B5ofq_1zxYTwCbXQasOQTzLOm&xkcb=SoBR6_M30uQMG-2XY50AbzkdCdPP&camk=ethIe0s0hefol_7yVDf29Q==&p=11&fvj=0&vjs=3,Occams Advisory Pvt. Ltd.,india,Not Disclosed,Not Rated
Clinical Data Associate,https://in.indeed.com/rc/clk?jk=50f51af4063c157f&bb=yO6rZndF62zJUquewmatUSGSY2xP9Y1u7yi0keK5YC9A4TUhNf7V4orJ-Qy7uqZWkP7qjDjy4OrVLYTAaEDzJTLjBlrM3KK5tIJSBD_qv_tVNur0mV1jSf5l3pyVxeNP&xkcb=SoAr67M30uQMG-2XY50HbzkdCdPP&fccid=1819751ce5e2f20d&cmp=Mercury-Mentors&ti=Clinical+Associate&vjs=3,Mercury Mentors,india,Not Disclosed,Not Rated
Data Scientist II,https://in.indeed.com/rc/clk?jk=713187d98024a0fc&bb=yO6rZndF62zJUquewmatUefL-p7dXMDJFis6BT2zBjbHGtSdknq3CeoYnA0BJiAsDB4wrFkzHhjfPw9Jug2BviVxg007tPXwZybXFLIIl93rt6Y6-LXmWQ%3D%3D&xkcb=SoCf67M30uQMG-2XY50GbzkdCdPP&fccid=d6ef41e202aa2c0b&vjs=3,Indeed,india,Not Disclosed,Not Rated
Junior Data Scientist,https://in.indeed.com/rc/clk?jk=c63aa7747735e650&bb=yO6rZndF62zJUquewmatUeE84H8gbOdGe1wOTg43x_Pj0nbLmLn8NEpNogtjX15mjfSeE0t4PggDUDKc_d9L4qOkhBqpbwqq9KtOeHsM1V48AUX9F0Boj833VsKbTQTL&xkcb=SoAC67M30uQMG-2XY50FbzkdCdPP&fccid=cab31a81c3c7bfa3&cmp=Invogue&ti=Junior+Data+Scientist&vjs=3,Dataviv Technologies,india,Not Disclosed,Not Rated
SVP - Data Science,https://in.indeed.com/rc/clk?jk=fd9dc9c13996c181&bb=DCw1BTjfA-hXk-WCG8V21v7u6WL25suTQzKjFZ_fXXz_uS7b6AXYPhNewanBarKK2ZmV61F1y7LJd7LtiwTNrmfZXTT4lP4R2gsnog6HFdl7L3YnkVz375ESxFkOzjPo&xkcb=SoCm67M30uQFmhxq0Z0LbzkdCdPP&fccid=23b99a777e00fd09&vjs=3,Exela Technologies,india,Not Disclosed,Not Rated
Data Science Intern,https://in.indeed.com/rc/clk?jk=6999121b8271907c&bb=DCw1BTjfA-hXk-WCG8V21kTE8SPp82JqZLXj3EDAYDxEtibGwh5UyUNzMArAT2lpreGCaUYaqzxpO1SFbXhyblRJPrHjyK0rn_yBOV--3uYVGBrnNbU1597c6_SxurZh&xkcb=SoAS67M30uQFmhxq0Z0KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,SatSure Analytics India,india,Not Disclosed,Not Rated
Junior Data Science Team Member,https://in.indeed.com/rc/clk?jk=cc0ce17625e07a29&bb=DCw1BTjfA-hXk-WCG8V21nvcQLBWy_I2z9JctcH7J-PNxF8WeGaznR3JfesfBgFt3w7t2fVL9DzWFTk-3G43yGwukpeBtfaeCI9fG0d9g8AlBR-qAY3IKs60fQOzl-SG&xkcb=SoCP67M30uQFmhxq0Z0JbzkdCdPP&fccid=cd8492a732b8eb63&vjs=3,Imurgence,india,Not Disclosed,Not Rated
NLP Data Scientist,https://in.indeed.com/rc/clk?jk=e46aa819b67c832d&bb=DCw1BTjfA-hXk-WCG8V21iz5PdT6ossHrjJRYM2Y1sviz3cD78WCglozKBc-Lc4e_UgVAsBZ3OlXPPz78ZKJYcBVetTMZt9ZsdkWvRnp4Nd1PrbumTEKB8o0-MRYT3Ol&xkcb=SoA767M30uQFmhxq0Z0IbzkdCdPP&fccid=4ed03476a1620afb&vjs=3,L&T Technology Services Limited.,india,Not Disclosed,Not Rated
Data Trainee (2024/2025 Pass-outs Only),https://in.indeed.com/rc/clk?jk=0ee09f575baf7876&bb=DCw1BTjfA-hXk-WCG8V21kTE8SPp82JqbFBiV84OhEnSDkL7_N02ak4KBRJsLNgpRyMzg3NBy8ELFycZgWAHFro9dHbyIuwvh5i3MIqRV1GY-O3QxHwEMYbQqSOK-s3o&xkcb=SoC167M30uQFmhxq0Z0PbzkdCdPP&fccid=c5245f5d1bd1135f&vjs=3,Desirous Global Consulting,india,Not Disclosed,Not Rated
DGM - Data Science,https://in.indeed.com/rc/clk?jk=fbc1e1803dbfd694&bb=DCw1BTjfA-hXk-WCG8V21jiAZfsLLZNGDJXR-copWiMojXITcrD5QNw5THgvJy_bF7-ua8GaXe-_Vx1sNlX7Go-IyexwmQ5BIhdIBOiQUmalUsHguClSHxSHMGTnbnxj&xkcb=SoAB67M30uQFmhxq0Z0ObzkdCdPP&fccid=34f022b244f566c3&vjs=3,Mahindra & Mahindra Ltd,india,Not Disclosed,Not Rated
Modelling & Data Science Executive,https://in.indeed.com/rc/clk?jk=c541bd449d368ca5&bb=DCw1BTjfA-hXk-WCG8V21iz5PdT6ossHJslvUy7G_ESy3loN26ZnzkPuv5-OMAG3WSc4LJqb_SA68KnIUFnYZE3RNY_uNyiz8P_wpxezbJHxQPhzUFfpKDwUmteIlVs0&xkcb=SoCc67M30uQFmhxq0Z0NbzkdCdPP&fccid=9834e576343ebcc2&vjs=3,Dentsu,india,Not Disclosed,Not Rated
Analytical & Measurement Science- Researcher,https://in.indeed.com/rc/clk?jk=9668a0d854ac7e0b&bb=DCw1BTjfA-hXk-WCG8V21kTE8SPp82JqOTQim6o48YHW4c6ia2b-iqoi5dzXc79JomaxWbnkhTUckXbV8aMNOPsD4BAfqMT-YWqVPHrMeZ1apHUJIW0v3g%3D%3D&xkcb=SoAo67M30uQFmhxq0Z0MbzkdCdPP&fccid=2da0dedf6df97194&vjs=3,Procter & Gamble,india,Not Disclosed,Not Rated
Analyst - Workforce Data & Analytics,https://in.indeed.com/rc/clk?jk=7f444f003fc14f88&bb=DCw1BTjfA-hXk-WCG8V21sQcK52tFNWPOAwP3rHt6B8Tj30T9e4DR-M8xqCQ17nKsT9oQhNrOJ66fmChhtCZgv15WD5ksUrlvISGtP93HT5JQS36ma_8GQ%3D%3D&xkcb=SoDB67M30uQFmhxq0Z0DbzkdCdPP&fccid=3bcf7eb192e678e4&vjs=3,General Mills,india,Not Disclosed,Not Rated
Data Scientist,https://in.indeed.com/rc/clk?jk=f20f34ffdb5759de&bb=DCw1BTjfA-hXk-WCG8V21m0OzExjvW_uccRv14di5OJExd10v9BrnINLauSOrhk2D6d7yHk6bNoewSzMs7JCjJ_mTxdK0dKKrDPu4agFXWMSTX4rdQjVMfZ7k2S9PbQR&xkcb=SoB167M30uQFmhxq0Z0CbzkdCdPP&fccid=9102c38c15134e6c&vjs=3,Maruti Suzuki India Ltd,india,Not Disclosed,Not Rated
Data Science Analytics,https://in.indeed.com/rc/clk?jk=730378b4ee8f471f&bb=DCw1BTjfA-hXk-WCG8V21jC2EleMfjFySpiWG_674zdZzdp2084xoVEQErUnsZRMzbOcM9V1cPqhCDoKPp3d6D6520Leh65eJBd9fcO5sBN0hG-vG7O2fozSTdjSCEii&xkcb=SoDo67M30uQFmhxq0Z0BbzkdCdPP&fccid=8545d130125b69ed&vjs=3,Diverse Infotech,india,Not Disclosed,Not Rated
Prompt Engineer - Annotator,https://in.indeed.com/rc/clk?jk=9da427a741a96fc0&bb=DCw1BTjfA-hXk-WCG8V21jew7RZ7e9fQO-6Xzp5mUgqHERqQ2TLlkiyRjQ6HUnvyLbslrQ6s-bUs5tKG1H5UaJPYAwnAbYqm_qrSvyfYfOFKxqDUiKzBizv9Iwdddygk&xkcb=SoBc67M30uQFmhxq0Z0AbzkdCdPP&fccid=2669b0551898b4c5&vjs=3,Unify Technologies,india,Not Disclosed,Not Rated
AI Researcher (100% Remote - India),https://in.indeed.com/rc/clk?jk=8b3278eae1283baa&bb=DCw1BTjfA-hXk-WCG8V21hBAIQ_gABrFeUtOY5VN8gA1ej3XH8AH5DjjVjU4TQs-sPNMPsj_Eg4JYj2pBY_lp0PqjPr4M9f-RfEPiHUxGVxDi3c8lQCMTHpPyFO26ebc&xkcb=SoDS67M30uQFmhxq0Z0HbzkdCdPP&fccid=c0737bbe83895925&vjs=3,Tether Operations Limited,india,Not Disclosed,Not Rated
